bJ=1 X,bJ=1 Y,bJ=2 X,bJ=2 Y,bJ=3 X,bJ=3 Y,bJ=5 X,bJ=5 Y,bJ=7 X,bJ=7 Y,bJ=12 X,bJ=12 Y,bJ=30 X,bJ=30 Y
0.3690842063850822,0.23829900597311665,0.362218092388223,0.21018344062081568,0.3716367464175535,0.18097621327557045,0.33205491904193984,0.14319386331770764,0.29594382481554327,0.12252357599316183,0.2207053957616264,0.10091513460952495,0.19762702690047973,0.07976963157506087
0.37560195027079113,0.2381733676481555,0.368727932722952,0.20941708776308843,0.3781525719656459,0.180695061714501,0.33857189559260203,0.1430060196983032,0.30245803896003787,0.12211179331376146,0.22721354795925286,0.1000119301040224,0.20414400345114203,0.0795817879556564
0.3821166248163136,0.2377989081454211,0.3752474414792679,0.20943452161534687,0.3846634098359355,0.18000957573955007,0.3450790064069511,0.14201839372177047,0.30896630077695664,0.1212174752788937,0.23373052450991516,0.09982408648461794,0.21066328200694406,0.07958056021958188
0.38863820537725535,0.23798429629267648,0.3817644180299302,0.20924667799594243,0.3911796190515512,0.1797595268257023,0.3515919270437957,0.14150175068887996,0.31547403642127214,0.1202805021849791,0.24023138702459912,0.09832993168190399,0.21718025855760636,0.07939271660017738
0.39515518192791765,0.237796452673272,0.3882790925754528,0.20887221849320803,0.3976996649423997,0.17982050438407104,0.3581067112086106,0.1411361776567803,0.32198963176885054,0.11998068903557668,0.24674145755984211,0.09758224041250976,0.22370414112368786,0.0797647206307627
0.4016740000826917,0.2377579017605315,0.3947976037962082,0.20880878546269016,0.4042089681425961,0.17901060782023354,0.36461842603323913,0.14052178344690747,0.32850062310614947,0.11930764411951439,0.2532462334832637,0.09640533261145667,0.23021881566921043,0.07939026112802833
0.408191437034382,0.23760738131779302,0.40131074367163755,0.20830991537106916,0.4107247936906885,0.1787294562591641,0.37113145628937605,0.1400140268846517,0.33501135135714666,0.11861327167392868,0.2597618288308421,0.09610551946205426,0.23674346557033854,0.07982447045305696
0.41471301759532375,0.2377927694650484,0.4078300222274396,0.20830868763499463,0.41724637425163025,0.17891484440641947,0.3776461308348986,0.1396395673819173,0.34152767019205477,0.1183721092307157,0.26626755844210725,0.0950059239555236,0.243258140115861,0.07945001095032259
0.4212322961511258,0.23779154172897388,0.4143465383770739,0.20808352083892417,0.4237598977945829,0.17844707696202014,0.3841562013701415,0.13889187611252304,0.3480400427324375,0.11781103384465136,0.2727821233683374,0.09462257798215443,0.24977665133661642,0.07938657791980469
0.42775502771463736,0.23807023781789421,0.4208639753287641,0.2079330003961857,0.43026881732725597,0.17760607775096093,0.3906731779208038,0.13870403249311858,0.3545508806027271,0.11712554786970045,0.27929449590872,0.09406150259609009,0.25629708089498837,0.07947865812539512
0.43426970226015993,0.2376957783151598,0.42738670689227565,0.20821169648510607,0.4367938508959074,0.17807138972321118,0.39718785246632626,0.1383295729903842,0.3610609511379701,0.11637785660030617,0.28580697806839517,0.09350931368066057,0.26281290644308075,0.0791975065643257
0.44079013181853177,0.23778785852075024,0.4339002304352283,0.2077439290407067,0.4433039214311504,0.17732369845381696,0.4037025270118487,0.13795511348764983,0.36757485834844583,0.11594119180312851,0.2923154043142526,0.09262832535174495,0.2693344870040225,0.07938289471158108
0.4473105613769037,0.23787993872634067,0.44041950899103033,0.20774270130463215,0.4498301060023717,0.1778823183677322,0.4102172015573713,0.1375806539849154,0.37409183489910813,0.11575334818372401,0.29882843457038955,0.09212056878948915,0.2758560675649643,0.07956828285883649
0.45382868893013584,0.23778540304860118,0.44693372313552493,0.20733091862523179,0.4563447805478942,0.17750785886499781,0.4167341781080335,0.13739281036551096,0.3806065094446306,0.11537888868098964,0.30534475340529754,0.09187940634627617,0.28237074211048685,0.07919382335610206
0.46034566548079814,0.2375975594291967,0.4599738916507268,0.20745909427141365,0.4628640591036962,0.1775066311289233,0.42324885265355605,0.13701835086277656,0.38711888198501343,0.11481781329492532,0.31185559127558715,0.09119392037132526,0.2888923226714286,0.07937921150335747
0.46686264203146044,0.23740971580979225,0.466492019203959,0.20736455859367414,0.46938333765949825,0.17750540339284873,0.42976582920421835,0.1368305072433721,0.3936358585356756,0.11462996967552086,0.3183694984860631,0.09075725557414754,0.2954092992220909,0.07919136788395298
0.4733853735949721,0.2376884118987126,0.47300554274691153,0.20689679114927478,0.47590146521273036,0.17741086771510922,0.4362805037497408,0.1364560477406377,0.40014823107605846,0.11406889428945655,0.32488187102644583,0.09019618018808323,0.30192857777789295,0.07919014014787845
0.47990465215077416,0.23768718416263807,0.47952942531299314,0.2072687951798601,0.48241729076082274,0.1771297161540398,0.44279978230554284,0.13645482000456316,0.4066629056215809,0.11369443478672214,0.33139424356682856,0.08963510480201889,0.3084501583388346,0.07937552829513386
0.4864204776988664,0.23740603260156862,0.48604755286622514,0.20717425950212062,0.48893656931662477,0.17712848841796525,0.4493144568510654,0.13608036050182878,0.41318218417738295,0.11369320705064762,0.337908918112351,0.08926064529928451,0.31496483288435706,0.07900106879239946
0.4929420582598082,0.237591420748824,0.4925633784143175,0.2068931079410512,0.4954558478724268,0.17712726068189072,0.45582913139658776,0.13570590099909438,0.4196937893827192,0.11306992637013999,0.34442129065273375,0.08869956991322017,0.32148641344529894,0.07918645693965484
0.4994590348104705,0.23740357712941956,0.4990838079726895,0.20698518814664163,0.5019751264282288,0.1771260329458162,0.4623484099523898,0.13570467326301985,0.4262138352735676,0.11313090392850875,0.35094517321881535,0.0890715739438055,0.3280079940062407,0.07937184508691023
0.5059806153714123,0.23758896527667495,0.5056065395362012,0.20726388423556197,0.5084978579917405,0.17740472903473653,0.4688653865030521,0.13551682964361536,0.43272620781395044,0.11256982854244446,0.35745524375405835,0.08832388267441124,0.33452266855176316,0.07899738558417585
0.5124998939272143,0.2375877375406004,0.5121223650842935,0.20698273267449252,0.5150136835398328,0.1771235774736671,0.47538696706399386,0.13570221779087077,0.43924548636975247,0.1125686008063699,0.36397222030472054,0.0881360390550068,0.34104655111784477,0.07936938961476117
