file	schema	imaginary_field_grid	equal_time_prescription	connected_strategy	constant_magnetization	labels	beta	h_abs	JL	JQ	Tmax	delta_real_t	delta_imag_t	num_samples	iterations	termination	factorization	fft_cutoff	iteration_error_last	kms_last	closure_max	stationarity_last	magnetization_drift_max	phase_last	approximation_error_last	max_Re_correlation_SE	edge_shape	finite
spinmodel=ISO__beta=1__factor=fft_wcut=3XX.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	1.0	0.0	0.0	1.0	8.0	0.04	0.02	24000	3	by convergence	fft	3.0	0.004334591555366134	0.0008246753680669426	0.0029495771848440044	0.0	0.0	0.999732014837632	0.0005914607980827734	0.0009760673213262225	201x1x51	True
spinmodel=ISO__beta=1__h=z_h_abs=0.5.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	0.0	1.0	10.0	0.2	0.03333333333333333	16000	3	by convergence			0.0046143447577873375	0.00276959792998558	0.019276732806434067	0.011691464410196126	0.011691464410196124	0.999980284154688		0.0013884558340524589	51x4x31	True
spinmodel=ISO__beta=1__h=z_h_abs=0.5X.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	1.0	0.5	0.0	1.0	10.0	0.05	0.02	8000	3	by convergence			0.006368725540370834	0.002971645398332943	0.011873038572046427	0.005581721482624903	0.005581721482624903	0.9999574068426191		0.0019811578434567466	201x4x51	True
spinmodel=ISO__beta=2.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	2.0	0.0	0.0	1.0	10.0	0.05	0.04	8000	3	by convergence	dense	3.0	0.004100194617293022	0.0019380913458360797	0.008889147032691476	0.0	0.0	0.9997742860957625	0.0	0.0024738790790342063	201x1x51	True
spinmodel=ISO__beta=2X.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	2.0	0.0	0.0	1.0	7.5	0.0375	0.04	8000	3	by convergence	dense	3.0	0.006859196182004958	0.004024755912026961	0.009479530772283352	0.0	0.0	0.9997315762705679	0.0	0.0022170084567827396	201x1x51	True
spinmodel=ISO__beta=2__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	2.0	0.0	0.0	1.0	8.0	0.04	0.04	24000	4	by convergence	fft	3.0	0.0043646415444310045	0.00269068462214096	0.010531360305752255	0.0	0.0	0.9954756342473892	0.0013433022366250464	0.0014343778809898368	201x1x51	True
spinmodel=ISO__beta=2__h=z_h_abs=0.5.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	16000	5	by convergence			0.005089317382581815	0.007162456216754616	0.027467907178827813	0.014201580989446887	0.014201580989446887	0.9991884458925145		0.0024621156691661604	201x4x51	True
spinmodel=ISO__beta=2__h=z_h_abs=0.5X.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.0	0.5	0.0	1.0	10.0	0.05	0.04	16000	6	by convergence	dense		0.00470081891894121	0.00579484348621213	0.012882403990868657	0.00949689813159583	0.00949689813159583	0.9991798653255423		0.0026420624316306905	201x4x51	True
spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.0	0.5	0.0	1.0	10.0	0.2	0.04	4000	8	by convergence	fft		0.011255540628037894	0.011664281061835355	0.05302085886729699	0.01917548184313943	0.01917548184313943	0.99907400884081		0.0057203955328990475	51x4x51	True
spinmodel=ISO__beta=2__h=z_h_abs=0.5__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx,xy,yx,zz	2.0	0.5	0.0	1.0	8.0	0.04	0.04	24000	4	by convergence	fft	3.0	0.0044951885674383175	0.006949287571532036	0.01386740083391559	0.012284614050101396	0.012284614050101396	0.9944622431975801	0.0038764179080519475	0.0017512683035334166	201x4x51	True
spinmodel=ISO__beta=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	3.0	0.0	0.0	1.0	7.5	0.0375	0.06	8000	4	by convergence	dense	3.0	0.006708630363121689	0.004419876344430294	0.0150721154932456	0.0	0.0	0.9982470153280472	0.0	0.0028369145752168137	201x1x51	True
spinmodel=ISO__beta=3X.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	3.0	0.0	0.0	1.0	8.0	0.04	0.06	8000	4	by convergence	dense	3.0	0.007888158781144183	0.00491236049763104	0.023059669867954744	0.0	0.0	0.9983762628481994	0.0	0.002798041259240107	201x1x51	True
spinmodel=ISO__beta=3__factor=fft_wcut=3.hdf5	legacy_edge_plus_center	cell centered; tau=(k+1/2)*delta_imag_t; no samplewise endpoint identification	not_stored	not_stored	not_stored	xx	3.0	0.0	0.0	1.0	8.0	0.04	0.06	24000	6	by convergence	fft	3.0	0.003637089118995386	0.004995388589624399	0.005883883133619152	0.0	0.0	0.9813415720578873	0.003402651846927275	0.002038979435866401	201x1x51	True
